code,msg,data
200,success,"{'info': {'product_id': 22527, 'category_id': 2810, 'commodity_id': 1230805945, 'goods_list': [2230006285, 2230006282, 2230006283, 2230006284, 2230006209, 2230006206, 2230006207, 2230006208, 2230006273, 2230006270, 2230006271, 2230006272, 2230006277, 2230006274, 2230006275, 2230006276, 2230006281, 2230006278, 2230006279, 2230006280], 'name': 'REDMI Turbo 5 Max', 'price': '2499', 'market_price': '2499', 'image': 'https://cdn.cnbj1.fds.api.mi-img.com/nr-upload-outer/B63BA6D6C31982C1D444549CB04677CE_1769589378105.jpg', 'comments': '13.7万'}, 'traceid': '', 'logcode': 'reccom_Detail_0_0#eid=187:0:0:0:0:0:0:0:0:0&traceId=&pid=22527&bid=3038461.0&page=search', 'eid': '187:0:0:0:0:0:0:0:0:0', 'algorithm': 13, 'ext': None}"
200,success,"{'info': {'product_id': 19106, 'category_id': 1853, 'commodity_id': 1230803766, 'goods_list': [2230003905], 'name': 'Xiaomi路由器AX3000T', 'price': '199', 'market_price': '199', 'image': 'https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202308231437_b16fa069a2e0f6a1919d8c3e32ec5775.png', 'comments': '31.2万'}, 'traceid': '', 'logcode': 'reccom_Detail_0_1#eid=187:0:0:0:0:0:0:0:0:0&traceId=&pid=19106&bid=3038461.1&page=search', 'eid': '187:0:0:0:0:0:0:0:0:0', 'algorithm': 13, 'ext': None}"
200,success,"{'info': {'product_id': 18624, 'category_id': 1843, 'commodity_id': 1230800577, 'goods_list': [2221502345], 'name': '日常元素防蛀护龈牙膏', 'price': '12.9', 'market_price': '12.9', 'image': 'https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202307121748_07588ba60539b403be129694d3434290.png', 'comments': '41.1万'}, 'traceid': '', 'logcode': 'reccom_Detail_0_2#eid=187:0:0:0:0:0:0:0:0:0&traceId=&pid=18624&bid=3038461.2&page=search', 'eid': '187:0:0:0:0:0:0:0:0:0', 'algorithm': 13, 'ext': None}"
200,success,"{'info': {'product_id': 20293, 'category_id': 1790, 'commodity_id': 1230802539, 'goods_list': [2230002273], 'name': '米家空气炸锅S1 6L', 'price': '299', 'market_price': '299', 'image': 'https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202506121550_c30b46602a3e9e0a5eddc9e6c62709ca.png', 'comments': '13.4万'}, 'traceid': '', 'logcode': 'reccom_Detail_0_3#eid=187:0:0:0:0:0:0:0:0:0&traceId=&pid=20293&bid=3038461.3&page=search', 'eid': '187:0:0:0:0:0:0:0:0:0', 'algorithm': 13, 'ext': None}"
200,success,"{'info': {'product_id': 21432, 'category_id': 2731, 'commodity_id': 1230804208, 'goods_list': [2230004430, 2230004431, 2230004432, 2230004433, 2230004434, 2230004435, 2230004436, 2230004437, 2230004438, 2230004439, 2230004440, 2230004441, 2230004442, 2230004443, 2230004444, 2230004445, 2230004446, 2230004447, 2230004448, 2230004449], 'name': 'REDMI K80 至尊版', 'price': '2599', 'market_price': '2599', 'image': 'https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202506181453_d97271f45499e132cbf0b597d5f7e04d.png', 'comments': '58.1万'}, 'traceid': '', 'logcode': 'reccom_Detail_0_4#eid=187:0:0:0:0:0:0:0:0:0&traceId=&pid=21432&bid=3038461.4&page=search', 'eid': '187:0:0:0:0:0:0:0:0:0', 'algorithm': 13, 'ext': None}"
200,success,"{'info': {'product_id': 2804, 'category_id': 14, 'commodity_id': 1154300033, 'goods_list': [2154300020], 'name': '5号彩虹电池（10粒）', 'price': '13.9', 'market_price': '13.9', 'image': 'https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202504011609_747477d23f22328d44d877577b1c032b.png', 'comments': '724万'}, 'traceid': '', 'logcode': 'reccom_Detail_0_5#eid=187:0:0:0:0:0:0:0:0:0&traceId=&pid=2804&bid=3038461.5&page=search', 'eid': '187:0:0:0:0:0:0:0:0:0', 'algorithm': 13, 'ext': None}"
200,success,"{'info': {'product_id': 9836, 'category_id': 596, 'commodity_id': 1192100011, 'goods_list': [2192100011, 2192100012], 'name': '小米巨能写中性笔10支装', 'price': '9.99', 'market_price': '9.99', 'image': 'https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202504011609_b90fde62ac13744d3a6349c95f2145ed.png', 'comments': '590.6万'}, 'traceid': '', 'logcode': 'reccom_Detail_0_6#eid=187:0:0:0:0:0:0:0:0:0&traceId=&pid=9836&bid=3038461.6&page=search', 'eid': '187:0:0:0:0:0:0:0:0:0', 'algorithm': 13, 'ext': None}"
200,success,"{'info': {'product_id': 20547, 'category_id': 2767, 'commodity_id': 1230802833, 'goods_list': [2230002751], 'name': '米家多功能电火锅6L', 'price': '329', 'market_price': '329', 'image': 'https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202409301049_128566547020c7088db983a75979fbc3.png', 'comments': '2.7万'}, 'traceid': '', 'logcode': 'reccom_Detail_0_7#eid=187:0:0:0:0:0:0:0:0:0&traceId=&pid=20547&bid=3038461.7&page=search', 'eid': '187:0:0:0:0:0:0:0:0:0', 'algorithm': 13, 'ext': None}"
200,success,"{'info': {'product_id': 18130, 'category_id': 2327, 'commodity_id': 1224500284, 'goods_list': [2221501679], 'name': '米家智能鱼缸', 'price': '399', 'market_price': '399', 'image': 'https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202303141419_88c2388db0b2b9543c31740306108ac0.png', 'comments': '10.9万'}, 'traceid': '', 'logcode': 'reccom_Detail_0_8#eid=187:0:0:0:0:0:0:0:0:0&traceId=&pid=18130&bid=3038461.8&page=search', 'eid': '187:0:0:0:0:0:0:0:0:0', 'algorithm': 13, 'ext': None}"
200,success,"{'info': {'product_id': 20628, 'category_id': 2456, 'commodity_id': 1230802964, 'goods_list': [2230002959], 'name': '小米磁吸散热背夹', 'price': '199', 'market_price': '199', 'image': 'https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202411011458_15d636d7effa6cdd93e26b4e265d4230.png', 'comments': '1.4万'}, 'traceid': '', 'logcode': 'reccom_Detail_0_9#eid=187:0:0:0:0:0:0:0:0:0&traceId=&pid=20628&bid=3038461.9&page=search', 'eid': '187:0:0:0:0:0:0:0:0:0', 'algorithm': 13, 'ext': None}"
